"","serialno","triwales","gogledd","bes05","wtfactor","intdate","sintdate","sttim","inwshh","inwsmm","inwdd","inwmm","inwyr","sintlen","thank","wreadpap","whpaper1","whpaper2","whpaper3","nwspswrg","nwspbrit","nwspwrld","bbc1wale","bbc1othr","bbc2","htvwales","itvother","channel4","s4c","channel5","skynews","othchanl","tvnever","tvrgnews","ptythnk","ptycls","idstrng","partyid","politic2","voted","votecod1","votecod2","votecod3","votecod4","votecod5","nvvotec","nvvotel","whendecd","votec","yvtclsc","ptyprefc","voters2c","votel","yvtclsl","ptyprefl","scwbrit","vote1st","vote2nd","mostimpo","mostimp1","mostimp2","mostimp3","mostimp4","mostimp5","voteukge","dfwnscw","dfwnge","coalitin","coalitw","votesyst","votesylc","confeel","labfeel","ldfeel","pcfeel","natcapab","evblair","evids","evkenned","evmorgan","evwjones","evgerman","evbourne","cnlbdfw","natlabdf","coalpc","snhsiesw","snhswhsw","edstiesw","edstwhsw","sliviesw","slivwhsw","taxspend","bpriorf1","bpriorf2","brworld","levelgen","levelub","levelfee","levelpsc","iraq1","iraq2","asylum","buspass","foundhos","ecpolicy","abolspw","govtrust","soctrust","govtwork","walework","losetch","voteintr","lostcham","cooppaas","coophoc","impgweas","ukintnat","natinnat","regbias","whbias","closeloc","closeesw","closebr","closeeur","srsoccl1","srsoccl2","srsoccl","natclass","natid","gbpride","natpride","ident1b","ident2b","ident3b","flaguj","flagnat","passport","waleparl","walepar2","votessw2","walshind","indepent","doesinfl","oughinfl","infl10yr","leaveuk2","voiceuk3","sayingv3","imprved3","wnanhs","wnaecon2","contgovb","contnhs","evcnam1","evcnam2","evcnmp","evcncoun","wllivlan","welshdif","rwelshsp","rsex","rage","ragecat","ragecat2","rsexage","rsexage2","natbrit","nateng","nateuro","natirish","natni","natscot","natulst","natwelsh","natoth","natnone","bnationu","bestnatu","religion","religsum","famrelig","rlfamsum","chattend","marstat2","marstat","married","rspborn","rlivels2","livwasc2","parborn","livearea","tenure","tenure2","reconact","seconact","r2soc200","r2es2000","r2nssec","r2sic92","r2lastjb","r2emplye","r2superv","r2ocsec2","r2empwrk","r2jbhrsi","r2empst2","r2sicgp","r2ngh","r2nghgrp","p2soc200","p2es2000","p2nssec","p2sic92","p2lastjb","p2emplye","p2superv","p2ocsec2","p2empwrk","p2jbhrsi","p2empst2","p2sicgp","p2ngh","p2nghgrp","unionsa2","maininc2","hhincome","othchld4","schqual","pschqual","edqual1","edqual2","edqual3","edqual4","edqual26","edqual27","edqual28","edqual29","edqual30","edqual31","edqual32","edqual22","edqual23","edqual24","edqual25","edqual10","edqual11","edqual17","edqual18","edqual19","edqual20","edqual21","edqual12","edqual13","edqual14","edqual15","edqual16","hedqual","internet","wwwuse","vote01","votsw99c","votsw99l","refvotew","phone","phonebck","stable","endtim","inwehh","inwemm","selfcomp","duration","sintlen2","int_num","tnc","duno","dusel","persno","perssel","intlang","rborn3","tenure5","reconsum","seconsum","r2opcat","p2opcat","r2class","p2class","r2clasgp","p2clasgp","r2econps","p2econps","r2nseg","p2nseg","r2nseggp","p2nseggp","r2nsoccl","p2nsoccl","r2jbhrci","p2jbhrci","r2partfi","p2partfi","psu_id","ua_id","ua_name","constit","region","clwydw","northw","wardid","wardname","welshspk","popdens","endfile","cardno20","intvr20","batch20","language","fairshar","richlaw","tuntneed","privent","publcown","govresp1","nlbintwc","nlbinten","nlbintsw","nlbintwl","swlintwc","swlinten","swlintsw","swlintwl","natintwc","natinten","natintsw","natintwl","conintwc","coninten","conintsw","conintwl","ldwintwc","ldwinten","ldwintsw","ldwintwl","votduty2","proprep","proprnat","proprloc","swvotdf2","swsysdf2","swquiz1b","swquiz3b","quizscbu","quizrhod","swquiz4","swquiz5","swquiz6","swquiz7","swquiz8","swquiz9","quizldco","quizlist","quiz60am","swvote1","swvote2b","swvote3b","swvote4","electsy1","electsy2","swvots1b","swvots2b","swvotsy3","swvots4b","swvot5b","swvot6b","swvotsy7","swvotsy8","numbmps","govcoal1","govcoal2","minorp","foregone","qtime","qdate","scsexchk","scagechk","leftrigh","wmirror","filter_$","constpre","trids","walesbor"
"267",22617,0,0,0,1.1027,"16052003","16052003","15:39:18",NA,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,0,1,0,0,1,5,-1,2,5,4,2,4,96,96,96,96,5,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,4,2,2,2,1,2,3,3,3,2,2,7,4,4,7,5,0,0,3,1,2,5,1,8,9,3,1,3,1,3,1,2,1,1,1,4,4,1,2,3,5,2,4,1,3,3,2,2,2,4,3,3,4,1,2,1,1,1,2,2,4,2,2,4,2,3,1,19,8,13,3,1,8,2,1,1,1,3,2,1,2,3,1,3,3,3,3,1,1,2,NA,2,2,4,2,2,2,59,5,5,13,12,1,2,2,2,2,2,2,1,2,2,8,8,3,1,3,1,4,1,1,1,1,2,41,2,6,1,1,3,9,1221,3,9.1,55,NA,2,2,NA,0,12,3,8,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,98,1,1,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,5,5,5,1,1,2,2,"16:15:24",NA,NA,61,36,36,"0090",1,1,-1,2,1,NA,2,1,2,4,9,NA,4,NA,3,NA,4,9,15,NA,4,NA,2,NA,1,NA,2,NA,26,"00NQ","Sir Ceredigion - Ceredigion","Ceredigion Co Const",2,0,0,"00NQNH","Penparc ED",64.11,1.12,"X",20,NA,1030,1,3,3,1,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,2,2,2,3,4,4,4,4,4,2,1,2,8,8,2,2,8,8,8,1,8,3,4,2,4,8,2,1,2,8,2,2,4,8,8,2,1,4,4,4,3,4,705,1,85,3.33333333333333,0,1,4,1,0
"268",22619,0,0,0,0.5513,"23052003","23052003","14:06:53",NA,NA,NA,NA,NA,NA,NA,1,6,0,0,2,3,3,1,0,1,1,0,0,0,1,0,0,0,1,0,2,3,2,4,1,-1,-1,-1,-1,-1,NA,NA,4,2,3,3,1,2,1,NA,2,2,3,"nothing",97,NA,NA,NA,NA,2,5,3,8,8,8,8,3,2,2,4,1,8,5,4,6,98,98,98,2,2,8,3,3,2,3,3,1,2,3,1,2,1,1,1,1,8,8,1,4,8,1,1,4,2,3,3,2,2,2,8,8,3,2,2,2,2,2,2,2,4,2,NA,2,3,3,2,2,21,6,23,3,2,1,5,4,8,2,4,2,2,2,3,3,3,3,3,3,1,1,2,NA,2,2,3,2,1,2,56,5,5,13,12,1,2,2,2,2,2,2,1,2,2,8,8,9,3,8,3,3,4,3,2,4,1,-1,2,26,3,2,3,-1,9244,7,13.1,80,NA,1,2,3,2,16,9,13,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,2,3,3,3,2,1,1,3,"14:47:57",NA,NA,61,41,41,"0090",3,1,-1,1,-1,NA,1,3,2,NA,13,NA,7,NA,5,NA,2,NA,10,NA,5,NA,5,NA,2,NA,2,NA,26,"00NQ","Sir Ceredigion - Ceredigion","Ceredigion Co Const",2,0,0,"00NQNH","Penparc ED",64.11,1.12,"X",20,NA,2174,2,4,2,4,4,2,4,3,2,2,3,1,2,1,1,1,3,1,1,1,2,2,2,2,3,2,2,3,2,2,2,8,2,2,1,2,8,3,3,2,8,2,8,3,3,8,2,3,4,4,1,2,3,2,4,2,8,2,3,2,1,2,2,4,8,4,805,2,50,2.33333333333333,0,1,1,2,1
"269",22620,0,0,0,1.1027,"15052003","15052003","15:31:05",NA,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,1,0,7,8,7,5,1,-1,-1,-1,-1,-1,NA,NA,4,97,-3,-3,-3,NA,NA,NA,1,NA,NA,"health - the state of the health service",3,NA,NA,NA,NA,97,4,2,2,2,8,8,3,3,3,5,1,4,4,4,5,98,98,98,8,1,1,5,3,8,9,2,3,4,1,3,3,2,2,1,1,2,2,2,2,3,2,1,4,2,3,4,2,2,2,3,3,3,3,3,2,1,1,3,1,4,4,2,2,4,5,1,5,8,14,2,1,2,2,5,4,1,2,4,2,2,2,3,3,3,3,5,3,3,3,2,NA,2,2,4,2,3,2,78,7,6,15,13,2,1,2,2,2,2,2,2,2,2,-1,2,3,1,3,1,7,1,1,1,4,2,28,3,28,1,1,9,9,3311,7,7.2,75,4,1,2,3,4,40,9,12,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,97,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,1,2,97,97,NA,2,1,1,2,"16:14:13",NA,NA,61,43,43,"0090",1,1,-1,2,2,NA,1,1,4,4,7,NA,3,NA,2,NA,9,9,19,NA,7,NA,7,NA,4,NA,1,NA,26,"00NQ","Sir Ceredigion - Ceredigion","Ceredigion Co Const",2,0,0,"00NQMB","Aberporth ED",64.11,1.12,"X",20,NA,2175,2,5,1,4,4,1,2,4,3,3,3,3,3,2,2,2,3,2,1,4,4,4,4,3,3,4,4,3,2,2,2,4,8,2,1,3,8,1,3,8,2,2,2,3,3,8,3,8,4,2,2,2,4,8,5,2,2,8,3,1,1,2,2,3,2,3,1405,2,46,1.5,0,1,1,3,1
"270",22702,0,0,1,0.5513,"22052003","22052003","14:05:10",NA,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,NA,2,15,96,96,96,96,98,98,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,8,8,8,8,8,8,3,3,3,3,2,98,98,98,98,98,98,98,3,3,8,3,3,4,1,2,8,8,4,2,2,1,1,1,1,4,4,2,2,4,8,3,4,2,2,2,2,2,2,3,3,3,4,4,8,NA,1,3,2,3,4,9,3,-1,2,8,8,14,28,22,3,3,1,8,8,2,3,4,1,1,2,2,8,2,3,3,3,8,2,2,NA,2,2,2,1,3,2,29,2,2,10,9,2,2,2,2,2,2,2,1,2,2,-1,8,0,5,0,5,-1,4,3,2,4,1,-1,1,29,9,4,10,-1,7111,7,12.1,52,3,1,2,1,1,36,9,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,6,1,1,2,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,2,0,0,NA,0,1,1,2,"14:38:02",NA,NA,51,33,33,"0487",3,1,-1,1,-1,NA,1,10,5,NA,12,NA,6,NA,5,NA,8,NA,9,NA,3,NA,3,NA,4,NA,1,NA,27,"00NS","Sir Benfro - Pembrokeshire","Preseli Pembrokeshire Co Const",2,0,0,"00NSQR","Milford: Hakin ED",5.43,2.56,"X",20,NA,2176,2,4,2,4,4,4,2,3,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,2,2,2,2,3,2,2,3,3,8,9,9,9,1,1,1,1,8,8,8,2,2,2,2,8,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1405,1,54,2.33333333333333,0,0,NA,1,1
"271",22704,0,0,1,1.1027,"19052003","19052003","09:35:34",NA,NA,NA,NA,NA,NA,NA,1,6,5,0,2,3,3,0,0,0,1,0,0,0,1,1,0,0,1,1,-1,3,1,4,1,-1,-1,-1,-1,-1,NA,NA,1,1,1,NA,1,1,1,NA,2,1,3,"none in particular",97,NA,NA,NA,NA,1,1,4,2,2,2,2,2,5,2,3,1,0,98,2,7,98,98,7,3,3,2,3,2,2,2,3,1,3,4,2,4,1,2,1,1,5,1,1,1,4,1,3,2,2,3,4,2,1,2,2,4,3,1,2,2,1,1,2,1,4,4,2,2,1,4,1,2,14,8,1,1,1,1,5,4,1,2,4,2,2,1,3,1,3,8,3,2,1,2,2,NA,2,2,4,2,3,2,64,6,5,14,12,1,1,2,2,2,2,2,1,2,2,2,2,3,1,3,1,6,1,1,1,1,2,51,2,42,1,1,3,8,7112,7,12.1,52,NA,1,2,1,2,16,9,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,2,1,0,NA,0,1,1,1,"10:10:14",NA,NA,61,35,35,"0487",2,1,-1,2,2,NA,2,1,2,5,12,NA,6,NA,5,NA,2,11,9,NA,3,NA,3,NA,2,NA,2,NA,27,"00NS","Sir Benfro - Pembrokeshire","Preseli Pembrokeshire Co Const",2,0,0,"00NSQR","Milford: Hakin ED",5.43,2.56,"X",20,NA,2177,2,2,5,5,3,3,4,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,1,1,2,8,1,3,8,8,2,8,3,3,8,3,3,3,4,1,1,4,3,4,2,3,3,2,4,2,4,3,3,2,2,1505,2,24,3.33333333333333,0,1,1,3,0
"272",22709,0,0,1,1.1027,"13052003","13052003","15:16:20",NA,NA,NA,NA,NA,NA,NA,1,5,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,2,0,2,3,2,2,2,5,96,96,96,96,2,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,98,5,5,2,2,1,2,3,3,3,3,1,7,98,98,98,98,98,98,2,1,1,8,9,2,2,5,2,2,2,3,8,2,2,2,1,5,2,1,2,3,2,3,4,1,3,4,1,1,1,4,4,3,3,3,2,1,1,1,2,3,4,2,2,2,1,5,1,19,98,0,2,1,8,3,4,2,3,2,1,3,1,1,3,3,3,3,3,1,1,2,NA,2,2,2,1,3,1,23,1,1,1,1,2,2,2,2,2,2,2,1,2,2,-1,8,0,5,0,5,-1,2,2,1,4,1,-1,1,23,3,2,5,10,5215,7,13.3,29,2,1,2,1,4,40,9,4,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,2,1,2,0,NA,0,1,1,1,"15:59:29",NA,NA,51,43,43,"0487",1,1,-1,2,2,NA,1,3,3,5,13,NA,7,NA,5,NA,7,8,12,NA,4,NA,4,NA,4,NA,1,NA,27,"00NS","Sir Benfro - Pembrokeshire","Preseli Pembrokeshire Co Const",2,0,0,"00NSQS","Milford: Hubberston ED",5.43,2.56,"X",20,NA,1031,1,4,2,4,5,4,4,3,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2303,2,52,2.5,0,0,3,1,1
"273",22710,0,0,1,1.1027,"15052003","15052003","11:52:26",NA,NA,NA,NA,NA,NA,NA,1,3,0,0,3,3,3,1,0,1,1,0,0,0,0,1,0,0,1,2,-1,1,2,1,1,-1,-1,-1,-1,-1,NA,NA,1,2,2,NA,1,2,2,NA,1,2,5,"free transport for elderly,tuition fees",8,2,NA,NA,NA,2,1,1,2,2,1,1,5,1,1,2,3,8,98,4,7,5,7,5,1,1,1,3,2,2,1,2,2,3,1,2,4,2,2,1,2,1,2,2,2,4,4,2,4,1,4,2,2,1,2,4,4,2,2,2,2,1,1,1,3,1,4,8,3,-1,7,2,5,9,10,14,3,3,4,4,8,2,2,4,1,4,4,2,1,1,1,1,2,1,2,1,1,1,1,2,4,3,1,64,6,5,6,5,2,2,1,1,2,2,2,2,2,2,4,4,2,2,2,2,1,1,1,1,3,4,37,3,37,1,1,9,9,5216,6,10,28,2,1,1,1,3,50,8,4,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,1,1,1,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,1,1,1,2,"13:04:20",NA,NA,61,72,72,"0487",2,1,-1,2,1,NA,2,1,4,4,10,NA,5,NA,4,NA,9,9,11,NA,4,NA,4,NA,4,NA,1,NA,27,"00NS","Sir Benfro - Pembrokeshire","Preseli Pembrokeshire Co Const",2,0,0,"00NSQR","Milford: Hakin ED",5.43,2.56,"X",20,NA,1032,1,3,2,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,2,2,3,4,4,4,3,2,4,2,1,1,1,1,2,8,8,8,1,1,1,2,2,4,2,1,1,3,3,2,2,2,3,2,2,1,2,4,4,3,2,705,2,71,3,1,1,2,NA,0
"274",22711,0,0,1,1.1027,"22072003","22072003","18:40:39",NA,NA,NA,NA,NA,NA,NA,1,6,0,0,3,3,3,1,0,0,1,1,0,0,1,0,0,0,1,0,0,-1,0,NA,2,4,96,96,96,96,2,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,3,2,2,2,2,2,3,2,3,3,8,7,5,98,98,98,98,98,3,3,1,3,3,3,3,3,3,2,3,2,1,2,1,1,1,3,2,2,2,4,3,3,3,1,2,2,2,4,3,2,2,3,3,2,1,NA,1,2,2,3,4,2,2,1,3,1,1,8,17,23,1,1,1,4,3,1,3,4,1,1,1,3,1,3,3,2,3,3,3,2,NA,2,2,3,4,3,2,69,7,6,15,13,1,2,2,2,2,2,2,2,2,2,-1,1,0,5,3,1,7,1,1,1,4,1,-1,3,69,1,1,9,9,5434,6,10,85,3,1,1,3,2,22,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,2,2,0,NA,8,1,1,2,"19:16:51",NA,NA,61,36,36,"0487",6,1,-1,2,1,NA,1,1,4,4,10,NA,5,NA,4,NA,9,9,10,NA,5,NA,4,NA,2,NA,2,NA,27,"00NS","Sir Benfro - Pembrokeshire","Preseli Pembrokeshire Co Const",2,0,0,"00NSQR","Milford: Hakin ED",5.43,2.56,"X",20,NA,3036,1,4,2,5,5,1,2,3,3,3,3,2,2,2,2,2,3,2,2,3,2,3,3,3,2,3,3,3,3,3,3,4,3,1,1,1,4,1,4,1,8,4,8,1,4,8,4,3,3,4,1,1,3,3,4,2,3,3,3,1,1,2,4,3,4,4,2005,1,45,1.5,0,1,2,2,1
"275",22712,0,0,1,1.1027,"15052003","15052003","10:41:26",NA,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,1,1,0,0,1,2,-1,3,2,4,2,5,6,96,96,96,2,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,98,4,5,8,8,2,2,4,2,3,4,1,4,4,4,98,98,98,98,3,3,1,3,1,3,1,2,1,3,2,3,3,2,1,2,1,1,3,3,2,3,4,8,4,1,2,2,2,2,2,2,2,3,3,1,8,NA,1,1,1,2,4,1,1,3,2,1,1,14,4,2,3,2,8,4,3,1,8,4,2,1,8,2,3,3,8,3,2,1,1,2,NA,2,2,2,2,3,2,49,4,4,12,11,1,2,2,2,2,2,2,1,2,2,8,8,7,3,7,3,7,1,1,1,4,1,-1,1,49,2,1,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8114,6,10,40,NA,1,1,1,5,84,8,5,8,4,3,1,16,1,1,1,1,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,2,2,1,1,1,2,"11:22:04",NA,NA,61,41,41,"0487",3,1,-1,2,1,NA,1,2,5,2,NA,10,NA,5,NA,4,8,1,NA,11,NA,4,NA,4,NA,4,NA,1,27,"00NS","Sir Benfro - Pembrokeshire","Preseli Pembrokeshire Co Const",2,0,0,"00NSQS","Milford: Hubberston ED",5.43,2.56,"X",20,NA,1033,1,4,3,4,9,9,9,3,3,3,4,3,3,3,4,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,4,8,8,8,8,8,8,8,8,8,8,8,8,2,705,1,56,2,0,0,2,1,1
"276",22714,0,0,1,1.1027,"14062003","14062003","12:00:08",NA,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,1,0,1,2,-1,3,2,4,1,-1,-1,-1,-1,-1,NA,NA,1,2,1,NA,1,2,1,NA,2,2,3,"999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999",98,NA,NA,NA,NA,2,3,2,2,1,1,1,3,2,3,3,1,8,8,7,6,98,98,98,2,1,1,4,1,4,1,4,1,2,1,4,3,2,2,2,1,4,4,2,2,4,5,3,3,1,3,3,2,4,2,3,3,3,3,2,8,NA,1,1,1,3,2,NA,2,1,3,1,1,8,14,2,1,1,8,3,4,1,2,3,3,1,1,1,3,3,3,3,3,1,1,2,NA,2,2,3,4,3,2,53,4,4,12,11,1,2,2,2,2,2,2,1,2,2,8,8,3,1,8,3,5,1,1,1,4,1,-1,1,4,2,1,3,3,7111,7,12.1,52,NA,1,2,1,1,12,9,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,98,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,2,2,2,2,2,1,1,1,"12:46:24",NA,NA,61,46,46,"0487",9,1,-1,2,1,NA,1,2,2,2,12,NA,6,NA,5,NA,2,5,9,NA,3,NA,3,NA,1,NA,2,NA,27,"00NS","Sir Benfro - Pembrokeshire","Preseli Pembrokeshire Co Const",2,0,0,"00NSQS","Milford: Hubberston ED",5.43,2.56,"X",20,NA,1034,1,2,4,4,1,3,3,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,2,4,1,1,1,8,8,1,1,1,4,3,4,2,3,3,3,1,1,1,3,2,3,3,3,3,5,1,1,1,3,3,2,3,505,1,37,3.5,0,1,3,2,1
"277",22716,0,0,1,1.654,"14052003","14052003","12:45:19",NA,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,1,1,-1,3,1,5,1,-1,-1,-1,-1,-1,NA,NA,1,97,-3,-3,-3,NA,NA,NA,1,NA,NA,"hospitals,care of elderly",3,10,NA,NA,NA,1,1,1,2,2,2,2,1,1,3,2,8,7,7,98,7,5,98,98,3,3,1,3,1,4,1,3,1,3,2,1,4,1,1,2,2,1,1,1,2,4,8,2,2,1,4,3,1,1,1,8,8,1,3,3,2,1,1,1,1,4,2,NA,2,2,1,1,1,8,14,19,2,1,8,3,4,2,2,4,2,3,2,2,1,1,3,3,3,3,3,2,NA,2,2,2,4,3,2,66,7,6,15,13,2,2,2,2,2,2,2,1,2,2,-1,8,3,1,3,1,7,1,1,1,4,1,-1,1,66,1,1,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8219,7,11.2,63,3,1,2,1,4,48,9,9,10,5,3,7,4,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,2,1,98,98,1,1,2,2,"13:31:15",NA,NA,51,46,46,"0487",1,1,-1,3,1,NA,1,1,5,4,NA,11,NA,5,NA,4,11,9,NA,12,NA,4,NA,4,NA,4,NA,1,27,"00NS","Sir Benfro - Pembrokeshire","Preseli Pembrokeshire Co Const",2,0,0,"00NSQS","Milford: Hubberston ED",5.43,2.56,"X",20,NA,1035,1,4,3,4,2,4,4,3,9,2,2,1,1,1,1,2,4,3,1,2,2,2,3,3,3,3,3,3,1,2,2,8,8,3,4,4,3,3,8,8,8,8,8,2,8,2,1,4,4,1,2,2,8,8,8,4,8,8,8,8,2,8,2,2,2,4,705,2,80,3.16666666666667,0,1,3,1,1
"278",22718,0,0,1,1.1027,"14052003","14052003","10:01:26",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,2,3,3,1,0,1,1,0,0,0,0,1,0,0,1,1,-1,3,1,4,1,-1,-1,-1,-1,-1,NA,NA,1,1,2,NA,1,5,2,NA,1,1,5,"waste of money on assembly",14,NA,NA,NA,NA,1,2,2,1,1,2,2,2,4,4,2,2,7,7,4,1,5,98,98,3,1,2,5,2,3,2,2,2,3,2,4,1,1,1,1,1,4,2,1,1,5,3,3,2,2,3,3,2,2,2,2,2,3,2,2,2,1,1,1,1,3,2,NA,2,1,3,1,1,17,3,19,1,1,8,3,4,1,2,4,4,1,1,3,1,3,3,3,3,3,3,2,NA,2,2,2,1,3,1,64,6,5,6,5,1,2,1,2,2,2,2,1,2,2,8,8,0,5,3,1,7,1,1,1,4,1,-1,2,64,1,1,9,9,1223,2,8.1,55,1,2,1,NA,2,96,2,8,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,11,1,2,1,-1,-1,-1,-1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,1,98,2,1,1,1,"10:59:17",NA,NA,61,58,58,"0487",2,1,-1,2,2,NA,1,1,4,4,8,NA,4,NA,3,NA,9,9,3,NA,1,NA,3,NA,4,NA,1,NA,27,"00NS","Sir Benfro - Pembrokeshire","Preseli Pembrokeshire Co Const",2,0,0,"00NSQS","Milford: Hubberston ED",5.43,2.56,"X",20,NA,3037,1,4,3,4,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,3,9,8,1,1,2,2,8,2,2,2,2,2,8,4,8,8,8,8,8,1,1,8,8,8,8,8,8,8,2,2,2,9,9,9,2,2206,2,43,1.83333333333333,0,0,3,2,1
